idx,arp_id,dns_id,eth_dst,eth_id,eth_src,eth_type,icmp_id,ip_dst,ip_id,ip_ihl,ip_len,ip_src,ip_tos,ip_version,ipvsix_id,pad_id,raw_hex_field_load,raw_id,raw_load,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
1744,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,4032,127.0.0.1,0,4,,,,,75653a20757365726e616d652c206f6e4368616e67653a20746869732e68616e646c654368616e6765207d292c0a2020202020202020202020202020202020202020202020207375626d69747465642026262021757365726e616d65202626205f7265616374322e64656661756c742e637265617465456c656d656e74280a2020202020202020202020202020202020202020202020202020202027646976272c0a202020202020202020202020202020202020202020202020202020207b20636c6173734e616d653a202768656c702d626c6f636b27207d2c0a2020202020202020202020202020202020202020202020202020202027557365726e616d65206973207265717569726564270a202020202020202020202020202020202020202020202020290a2020202020202020202020202020202020202020292c0a20202020202020202020202020202020202020205f7265616374322e64656661756c742e637265617465456c656d656e74280a20202020202020202020202020202020202020202020202027646976272c0a2020202020202020202020202020202020202020202020207b20636c6173734e616d653a2027666f726d2d67726f757027202b20287375626d6974746564202626202170617373776f7264203f2027206861732d6572726f7227203a20272729207d2c0a2020202020202020202020202020202020202020202020205f7265616374322e64656661756c742e637265617465456c656d656e74280a20202020202020202020202020202020202020202020202020202020276c6162656c272c0a202020202020202020202020202020202020202020202020202020207b2068746d6c466f723a202770617373776f726427207d2c0a202020202020202020202020202020202020202020202020202020202750617373776f7264270a202020202020202020202020202020202020202020202020292c0a2020202020202020202020202020202020202020202020205f7265616374322e64656661756c742e637265617465456c656d656e742827696e707574272c207b20747970653a202770617373776f7264272c20636c6173734e616d653a2027666f726d2d636f6e74726f6c272c206e616d653a202770617373776f7264272c2076616c75653a2070617373776f72642c206f6e4368616e67653a20746869732e68616e646c654368616e6765207d292c0a2020202020202020202020202020202020202020202020207375626d6974746564202626202170617373776f7264202626205f7265616374322e64656661756c742e637265617465456c656d656e74280a2020202020202020202020202020202020202020202020202020202027646976272c0a202020202020202020202020202020202020202020202020202020207b20636c6173734e616d653a202768656c702d626c6f636b27207d2c0a202020202020202020202020202020202020202020202020202020202750617373776f7264206973207265717569726564270a202020202020202020202020202020202020202020202020290a2020202020202020202020202020202020202020292c0a20202020202020202020202020202020202020205f7265616374322e64656661756c742e637265617465456c656d656e74280a20202020202020202020202020202020202020202020202027646976272c0a2020202020202020202020202020202020202020202020207b20636c6173734e616d653a2027666f726d2d67726f757027207d2c0a2020202020202020202020202020202020202020202020205f7265616374322e64656661756c742e637265617465456c656d656e74280a2020202020202020202020202020202020202020202020202020202027627574746f6e272c0a202020202020202020202020202020202020202020202020202020207b20636c6173734e616d653a202762746e2062746e2d7072696d61727927207d2c0a20202020202020202020202020202020202020202020202020202020274c6f67696e270a202020202020202020202020202020202020202020202020292c0a20202020202020202020202020202020202020,48955,,,,1653866936,,,13242,8080,
1745,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,64888,127.0.0.1,0,4,,,,,,8080,,,,1653866936,,,65064,48955,
1746,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,64888,127.0.0.1,0,4,,,,,,8080,,,,1653866936,,,65064,48955,
1747,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,50126,127.0.0.1,0,4,,,,,,8080,,,,1653866927,,,65064,52601,
1748,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,50126,127.0.0.1,0,4,,,,,,8080,,,,1653866927,,,65064,52601,
1749,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,64688,127.0.0.1,0,4,,,,,474554202f726f626f74732e7478742f20485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e333b20574f5736343b2072763a33392e3029204765636b6f2f32303130303130312046697265666f782f33392e300d0a507261676d613a206e6f2d63616368650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a436f6e74656e742d4c656e6774683a20300d0a486f73743a206c6f63616c686f73743a383038300d0a0d0a,8080,,,,1653867130,,,65263,48955,
1750,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,64688,127.0.0.1,0,4,,,,,474554202f726f626f74732e7478742f20485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e333b20574f5736343b2072763a33392e3029204765636b6f2f32303130303130312046697265666f782f33392e300d0a507261676d613a206e6f2d63616368650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a436f6e74656e742d4c656e6774683a20300d0a486f73743a206c6f63616c686f73743a383038300d0a0d0a,8080,,,,1653867130,,,65263,48955,
1751,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,49925,127.0.0.1,0,4,,,,,474554202f736974656d61702e786d6c2f20485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e333b20574f5736343b2072763a33392e3029204765636b6f2f32303130303130312046697265666f782f33392e300d0a507261676d613a206e6f2d63616368650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a436f6e74656e742d4c656e6774683a20300d0a486f73743a206c6f63616c686f73743a383038300d0a0d0a,8080,,,,1653867131,,,65264,52601,
1752,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,49925,127.0.0.1,0,4,,,,,474554202f736974656d61702e786d6c2f20485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e333b20574f5736343b2072763a33392e3029204765636b6f2f32303130303130312046697265666f782f33392e300d0a507261676d613a206e6f2d63616368650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a436f6e74656e742d4c656e6774683a20300d0a486f73743a206c6f63616c686f73743a383038300d0a0d0a,8080,,,,1653867131,,,65264,52601,
1753,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,17345,127.0.0.1,0,4,,,,,485454502f312e3120343034204e6f7420466f756e640d0a582d506f77657265642d42793a20457870726573730d0a436f6e74656e742d53656375726974792d506f6c6963793a2064656661756c742d737263202773656c66270d0a582d436f6e74656e742d547970652d4f7074696f6e733a206e6f736e6966660d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a436f6e74656e742d4c656e6774683a203135300d0a446174653a204d6f6e2c203239204a616e20323031382032313a33373a313220474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c206c616e673d22656e223e0a3c686561643e0a3c6d65746120636861727365743d227574662d38223e0a3c7469746c653e4572726f723c2f7469746c653e0a3c2f686561643e0a3c626f64793e0a3c7072653e43616e6e6f7420474554202f726f626f74732e7478742f3c2f7072653e0a3c2f626f64793e0a3c2f68746d6c3e0a,48955,,,,1653867136,,,65463,8080,
1754,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,17345,127.0.0.1,0,4,,,,,485454502f312e3120343034204e6f7420466f756e640d0a582d506f77657265642d42793a20457870726573730d0a436f6e74656e742d53656375726974792d506f6c6963793a2064656661756c742d737263202773656c66270d0a582d436f6e74656e742d547970652d4f7074696f6e733a206e6f736e6966660d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a436f6e74656e742d4c656e6774683a203135300d0a446174653a204d6f6e2c203239204a616e20323031382032313a33373a313220474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c206c616e673d22656e223e0a3c686561643e0a3c6d65746120636861727365743d227574662d38223e0a3c7469746c653e4572726f723c2f7469746c653e0a3c2f686561643e0a3c626f64793e0a3c7072653e43616e6e6f7420474554202f726f626f74732e7478742f3c2f7072653e0a3c2f626f64793e0a3c2f68746d6c3e0a,48955,,,,1653867136,,,65463,8080,
